itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0240,hvac,Condensate Drain Piping,Condensate Drain Piping - weld neck flange,"Supply and install weld neck flange for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0241,hvac,Condensate Drain Piping,Condensate Drain Piping - lap joint flange,"Supply and install lap joint flange for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0242,hvac,Condensate Drain Piping,Condensate Drain Piping - grooved coupling,"Supply and install grooved coupling for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0243,hvac,Condensate Drain Piping,Condensate Drain Piping - dielectric union,"Supply and install dielectric union for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0244,hvac,Condensate Drain Piping,Condensate Drain Piping - expansion joint,"Supply and install expansion joint for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0245,hvac,Condensate Drain Piping,Condensate Drain Piping - flexible hose connector,"Supply and install flexible hose connector for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0246,hvac,Condensate Drain Piping,Condensate Drain Piping - pipe anchor,"Supply and install pipe anchor for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0247,hvac,Condensate Drain Piping,Condensate Drain Piping - pipe guide,"Supply and install pipe guide for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0248,hvac,Condensate Drain Piping,Condensate Drain Piping - pipe sleeve,"Supply and install pipe sleeve for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0249,hvac,Condensate Drain Piping,Condensate Drain Piping - puddle flange,"Supply and install puddle flange for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0250,hvac,Condensate Drain Piping,Condensate Drain Piping - wall penetration seal,"Supply and install wall penetration seal for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0251,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for cooling tower blowdown piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0252,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for cooling tower blowdown piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0253,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for cooling tower blowdown piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0254,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for cooling tower blowdown piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0255,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for cooling tower blowdown piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0256,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for cooling tower blowdown piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0257,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - elbow 90 degree,"Supply and install elbow 90 degree for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0258,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - elbow 45 degree,"Supply and install elbow 45 degree for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0259,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - tee,"Supply and install tee for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0260,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - reducer concentric,"Supply and install reducer concentric for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0261,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - reducer eccentric,"Supply and install reducer eccentric for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0262,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - coupling,"Supply and install coupling for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0263,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - union,"Supply and install union for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0264,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - flange,"Supply and install flange for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0265,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - blind flange,"Supply and install blind flange for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0266,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - weld neck flange,"Supply and install weld neck flange for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0267,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - lap joint flange,"Supply and install lap joint flange for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0268,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - grooved coupling,"Supply and install grooved coupling for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0269,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - dielectric union,"Supply and install dielectric union for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0270,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - expansion joint,"Supply and install expansion joint for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0271,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - flexible hose connector,"Supply and install flexible hose connector for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0272,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - pipe anchor,"Supply and install pipe anchor for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0273,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - pipe guide,"Supply and install pipe guide for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0274,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - pipe sleeve,"Supply and install pipe sleeve for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0275,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - puddle flange,"Supply and install puddle flange for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0276,hvac,Cooling Tower Blowdown Piping,Cooling Tower Blowdown Piping - wall penetration seal,"Supply and install wall penetration seal for cooling tower blowdown piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0277,hvac,Thermal Energy Storage Piping,Thermal Energy Storage Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for thermal energy storage piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0278,hvac,Thermal Energy Storage Piping,Thermal Energy Storage Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for thermal energy storage piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
